ELEMENT,int atomicNumber,String symbol,String name,float atomicMass,Color cpkHexColor(,String),String electronConfiguration,float electronegativity,int atomicRadius,float ionizationEnergy,float electronAffinity,String oxidationStates,String standardState,float meltingPoint,float boilingPoint,double density,String groupBlock,Year yearDiscovered(,int)
H,1,H,Hydrogen,1.008,Color.decode(,FFFFFF,1s1,2.2,120,13.598,0.754,"+1, -1",Gas,13.81,20.28,0.00008988,Nonmetal,Year.of(,1766
HE,2,He,Helium,4.0026,Color.decode(,D9FFFF,1s2,,140,24.587,,0,Gas,0.95,4.22,0.0001785,Noble gas,Year.of(,1868
LI,3,Li,Lithium,7,Color.decode(,CC80FF,[He]2s1,0.98,182,5.392,0.618,1,Solid,453.65,1615,0.534,Alkali metal,Year.of(,1817
BE,4,Be,Beryllium,9.012183,Color.decode(,C2FF00,[He]2s2,1.57,153,9.323,,2,Solid,1560,2744,1.85,Alkaline earth metal,Year.of(,1798
B,5,B,Boron,10.81,Color.decode(,FFB5B5,[He]2s2 2p1,2.04,192,8.298,0.277,3,Solid,2348,4273,2.37,Metalloid,Year.of(,1808
C,6,C,Carbon,12.011,Color.decode(,909090,[He]2s2 2p2,2.55,170,11.26,1.263,"+4, +2, -4",Solid,3823,4098,2.267,Nonmetal,Year.of(,
N,7,N,Nitrogen,14.007,Color.decode(,3050F8,[He] 2s2 2p3,3.04,155,14.534,,"+5, +4, +3, +2, +1, -1, -2, -3",Gas,63.15,77.36,0.0012506,Nonmetal,Year.of(,1772
O,8,O,Oxygen,15.999,Color.decode(,FF0D0D,[He]2s2 2p4,3.44,152,13.618,1.461,-2,Gas,54.36,90.2,0.001429,Nonmetal,Year.of(,1774
F,9,F,Fluorine,18.99840316,Color.decode(,90E050,[He]2s2 2p5,3.98,135,17.423,3.339,-1,Gas,53.53,85.03,0.001696,Halogen,Year.of(,1670
NE,10,Ne,Neon,20.18,Color.decode(,B3E3F5,[He]2s2 2p6,,154,21.565,,0,Gas,24.56,27.07,0.0008999,Noble gas,Year.of(,1898
NA,11,Na,Sodium,22.9897693,Color.decode(,AB5CF2,[Ne]3s1,0.93,227,5.139,0.548,1,Solid,370.95,1156,0.97,Alkali metal,Year.of(,1807
MG,12,Mg,Magnesium,24.305,Color.decode(,8AFF00,[Ne]3s2,1.31,173,7.646,,2,Solid,923,1363,1.74,Alkaline earth metal,Year.of(,1808
